horizon_bucket,MAE,RMSE,R2
1-24h (Day 1),17.822731429769885,20.07797286967963,-10.805595607085642
25-48h (Day 2),23.090892993203617,24.818357339512968,-5.654352250029575
49-72h (Day 3),28.92014729058938,31.23149182709729,-7.224370033284547
