time,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,cloud_cover,surface_pressure,pressure_msl,wind_speed_10m,wind_direction_10m,wind_gusts_10m,shortwave_radiation,direct_radiation,diffuse_radiation
2026-08-19 00:00:00,27.1,81,23.6,30.7,0.0,0.0,98,1004.2,1005.0,15.7,257,36.7,0.0,0.0,0.0
2026-08-19 01:00:00,27.0,82,23.6,30.5,0.0,0.0,98,1004.1,1004.9,15.3,262,33.8,0.0,0.0,0.0
2026-08-19 02:00:00,26.8,83,23.8,30.5,0.0,0.0,98,1003.5,1004.3,15.3,261,33.1,0.0,0.0,0.0
2026-08-19 03:00:00,26.8,84,23.9,30.5,0.0,0.0,95,1003.3,1004.1,15.4,260,33.1,0.0,0.0,0.0
2026-08-19 04:00:00,26.7,85,24.0,30.5,0.0,0.0,91,1003.1,1003.9,15.7,260,33.5,0.0,0.0,0.0
2026-08-19 05:00:00,27.1,83,23.9,30.6,0.0,0.0,97,1003.1,1003.9,16.8,261,33.5,0.0,0.0,0.0
2026-08-19 06:00:00,26.9,83,23.7,30.5,0.0,0.0,79,1003.1,1003.9,15.9,264,35.6,0.0,0.0,0.0
2026-08-19 07:00:00,27.2,81,23.6,30.8,0.0,0.0,70,1003.6,1004.4,15.2,265,34.6,27.0,2.0,25.0
2026-08-19 08:00:00,28.1,75,23.3,31.0,0.0,0.0,82,1004.0,1004.8,18.7,263,44.3,150.0,43.0,107.0
2026-08-19 09:00:00,29.0,70,23.0,31.8,0.0,0.0,79,1004.4,1005.2,18.2,261,45.7,335.0,154.0,181.0
2026-08-19 10:00:00,30.1,63,22.3,32.4,0.0,0.0,98,1004.6,1005.4,18.5,259,46.8,539.0,310.0,229.0
2026-08-19 11:00:00,30.1,65,22.7,32.6,0.0,0.0,99,1004.5,1005.3,20.0,253,48.6,594.0,291.0,303.0
2026-08-19 12:00:00,30.6,63,22.7,33.3,0.0,0.0,97,1004.3,1005.1,19.7,247,50.8,627.0,236.0,391.0
2026-08-19 13:00:00,30.2,66,23.2,33.2,0.0,0.0,97,1004.1,1004.9,19.8,239,50.0,626.0,214.0,412.0
2026-08-19 14:00:00,29.8,68,23.2,32.5,0.1,0.1,89,1003.6,1004.4,19.7,237,50.0,483.0,139.0,344.0
2026-08-19 15:00:00,30.1,67,23.3,33.2,0.0,0.0,90,1002.9,1003.7,20.7,231,52.2,642.0,296.0,346.0
2026-08-19 16:00:00,29.2,72,23.5,32.0,0.1,0.1,78,1002.4,1003.2,20.4,233,51.8,345.0,93.0,252.0
2026-08-19 17:00:00,29.2,67,22.4,31.4,0.3,0.3,86,1003.0,1003.8,19.8,246,50.0,299.0,113.0,186.0
2026-08-19 18:00:00,28.2,72,22.7,30.8,0.0,0.0,97,1003.3,1004.1,18.6,243,47.5,119.0,22.0,97.0
2026-08-19 19:00:00,27.9,75,23.0,30.8,0.1,0.1,98,1003.7,1004.5,17.4,247,43.9,28.0,2.0,26.0
2026-08-19 20:00:00,27.7,78,23.5,31.1,0.1,0.1,55,1004.3,1005.1,16.0,243,41.4,0.0,0.0,0.0
2026-08-19 21:00:00,27.5,81,23.9,30.9,0.1,0.1,30,1004.8,1005.6,18.0,242,41.4,0.0,0.0,0.0
2026-08-19 22:00:00,27.3,82,24.1,30.8,0.0,0.0,32,1005.1,1005.9,17.7,245,41.4,0.0,0.0,0.0
2026-08-19 23:00:00,27.4,79,23.5,30.8,0.0,0.0,62,1005.2,1006.0,16.5,248,38.2,0.0,0.0,0.0
2026-08-20 00:00:00,27.3,80,23.6,30.6,0.0,0.0,100,1004.9,1005.7,16.8,255,36.7,0.0,0.0,0.0
2026-08-20 01:00:00,27.1,82,23.8,30.5,0.0,0.0,48,1004.4,1005.2,17.3,262,38.9,0.0,0.0,0.0
2026-08-20 02:00:00,26.9,83,23.9,30.5,0.0,0.0,46,1003.9,1004.7,16.3,264,39.2,0.0,0.0,0.0
2026-08-20 03:00:00,26.8,84,23.9,30.6,0.0,0.0,46,1003.4,1004.2,15.2,265,35.3,0.0,0.0,0.0
